2023-08-07 21:10:06 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2023-08-07 21:10:06 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer using Java 11.0.19 on INGUR1M0346 with PID 11241 (/Users/kushwaja/Desktop/Personnel/Tutorials/Microservices_With_SpringBoot/Master_Course-1/CodeBase/microservices-demo/config-server/target/classes started by kushwaja in /Users/kushwaja/Desktop/Personnel/Tutorials/Microservices_With_SpringBoot/Master_Course-1/CodeBase/microservices-demo)
2023-08-07 21:10:06 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-08-07 21:10:08 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=490f41e7-4178-3048-a805-f063efea424b
2023-08-07 21:10:09 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-08-07 21:10:09 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-08-07 21:10:09 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-07 21:10:09 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2023-08-07 21:10:09 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-07 21:10:09 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2351 ms
2023-08-07 21:10:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/encrypt/**'] with []
2023-08-07 21:10:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/decrypt/**'] with []
2023-08-07 21:10:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/actuator/**'] with []
2023-08-07 21:10:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7c70aae1, org.springframework.security.web.context.SecurityContextPersistenceFilter@5287ba5f, org.springframework.security.web.header.HeaderWriterFilter@66f5b8fe, org.springframework.security.web.csrf.CsrfFilter@75eaba95, org.springframework.security.web.authentication.logout.LogoutFilter@604d28c6, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1f916219, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4be490da, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@48cd319d, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@38732364, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6897a4a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2aa14ae6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6f38f084, org.springframework.security.web.session.SessionManagementFilter@69ec93c2, org.springframework.security.web.access.ExceptionTranslationFilter@4b9c411, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3c54ddec]
2023-08-07 21:10:13 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-08-07 21:10:13 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-08-07 21:10:13 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 8.164 seconds (JVM running for 9.687)
