2023-08-03 14:17:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2023-08-03 14:17:54 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 11.0.19 on 6954e4627ce7 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-08-03 14:17:54 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-08-03 14:18:02 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e96aefc7-8351-341a-8099-eb37578c16ac
2023-08-03 14:18:04 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-08-03 14:18:05 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-08-03 14:18:05 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-03 14:18:05 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2023-08-03 14:18:05 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-03 14:18:05 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 10349 ms
2023-08-03 14:18:16 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/encrypt/**'] with []
2023-08-03 14:18:16 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/decrypt/**'] with []
2023-08-03 14:18:16 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/actuator/**'] with []
2023-08-03 14:18:17 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c835217, org.springframework.security.web.context.SecurityContextPersistenceFilter@65cc5252, org.springframework.security.web.header.HeaderWriterFilter@37606fee, org.springframework.security.web.csrf.CsrfFilter@27a9f025, org.springframework.security.web.authentication.logout.LogoutFilter@30abf79c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@448462f0, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@11e9ac24, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4584304, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@586cc15d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2dbfa972, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@252ec02e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@51888019, org.springframework.security.web.session.SessionManagementFilter@48d739f, org.springframework.security.web.access.ExceptionTranslationFilter@6cbb7a7d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7d59e968]
2023-08-03 14:18:31 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-08-03 14:18:31 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-08-03 14:18:32 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 78.66 seconds (JVM running for 118.841)
2023-08-03 14:18:32 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-03 14:18:32 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-08-03 14:18:32 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2023-08-03 14:19:26 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-14125737235701905400/config-client-twitter_to_kafka.yml]' via location 'file:/tmp/config-repo-14125737235701905400/'
2023-08-03 14:19:26 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-14125737235701905400/config-client.yml]' via location 'file:/tmp/config-repo-14125737235701905400/'
2023-08-03 14:19:28 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-14125737235701905400/config-client-elastic_query.yml]' via location 'file:/tmp/config-repo-14125737235701905400/'
2023-08-03 14:19:28 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-14125737235701905400/config-client.yml]' via location 'file:/tmp/config-repo-14125737235701905400/'
2023-08-03 14:19:30 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-14125737235701905400/config-client-kafka_streams.yml]' via location 'file:/tmp/config-repo-14125737235701905400/'
